# [reference standard]
# imdb2009
# reeves wachowski
# "Kid's Story" writer
([39702578, 8287013, 43937109, 17971006, 39916397], [(8287013, 39702578), (8287013, 43937109), (17971006, 43937109), (17971006, 39916397)])
([39702578, 8287013, 43937109, 17971025, 39917246], [(8287013, 39702578), (8287013, 43937109), (17971025, 43937109), (17971025, 39917246)])
# "The Matrix" producer, director, writer
# CHANGE: The standard is wrong, the tuple of casting that connects Reeves, Keanu to The Matrix is 8287061 and not 8287013
# ([39702578, 8287013, 44278661, 20085605, 39916397], [(8287013, 39702578), (8287013, 44278661), (20085605, 44278661), (20085605, 39916397)])
# ([39702578, 8287013, 44278661, 16451298, 39916397], [(8287013, 39702578), (8287013, 44278661), (16451298, 44278661), (16451298, 39916397)])
# ([39702578, 8287013, 44278661, 17971010, 39916397], [(8287013, 39702578), (8287013, 44278661), (17971010, 44278661), (17971010, 39916397)])
# ([39702578, 8287013, 44278661, 16451308, 39917246], [(8287013, 39702578), (8287013, 44278661), (16451308, 44278661), (16451308, 39917246)])
# ([39702578, 8287013, 44278661, 20085613, 39917246], [(8287013, 39702578), (8287013, 44278661), (20085613, 44278661), (20085613, 39917246)])
# ([39702578, 8287013, 44278661, 17971029, 39917246], [(8287013, 39702578), (8287013, 44278661), (17971029, 44278661), (17971029, 39917246)])
([39702578, 8287061, 44278661, 20085605, 39916397], [(8287061, 39702578), (8287061, 44278661), (20085605, 44278661), (20085605, 39916397)])
([39702578, 8287061, 44278661, 16451298, 39916397], [(8287061, 39702578), (8287061, 44278661), (16451298, 44278661), (16451298, 39916397)])
([39702578, 8287061, 44278661, 17971010, 39916397], [(8287061, 39702578), (8287061, 44278661), (17971010, 44278661), (17971010, 39916397)])
([39702578, 8287061, 44278661, 16451308, 39917246], [(8287061, 39702578), (8287061, 44278661), (16451308, 44278661), (16451308, 39917246)])
([39702578, 8287061, 44278661, 20085613, 39917246], [(8287061, 39702578), (8287061, 44278661), (20085613, 44278661), (20085613, 39917246)])
([39702578, 8287061, 44278661, 17971029, 39917246], [(8287061, 39702578), (8287061, 44278661), (17971029, 44278661), (17971029, 39917246)])
# "The Matrix Reloaded" producer, director, writer
# CHANGE: The standard is wrong, the tuple of casting that connects Reeves, Keanu to The Matrix Reloaded is 8287063 and not 8287013
# ([39702578, 8287013, 44240541, 16451299, 39916397], [(8287013, 39702578), (8287013, 44240541), (16451299, 44240541), (16451299, 39916397)])
# ([39702578, 8287013, 44240541, 17971012, 39916397], [(8287013, 39702578), (8287013, 44240541), (17971012, 44240541), (17971012, 39916397)])
# ([39702578, 8287013, 44240541, 17971013, 39916397], [(8287013, 39702578), (8287013, 44240541), (17971013, 44240541), (17971013, 39916397)])
# ([39702578, 8287013, 44240541, 20085607, 39916397], [(8287013, 39702578), (8287013, 44240541), (20085607, 44240541), (20085607, 39916397)])
# ([39702578, 8287013, 44240541, 16451309, 39917246], [(8287013, 39702578), (8287013, 44240541), (16451309, 44240541), (16451309, 39917246)])
# ([39702578, 8287013, 44240541, 17971031, 39917246], [(8287013, 39702578), (8287013, 44240541), (17971031, 44240541), (17971031, 39917246)])
# ([39702578, 8287013, 44240541, 17971032, 39917246], [(8287013, 39702578), (8287013, 44240541), (17971032, 44240541), (17971032, 39917246)])
# ([39702578, 8287013, 44240541, 20085615, 39917246], [(8287013, 39702578), (8287013, 44240541), (20085615, 44240541), (20085615, 39917246)])
([39702578, 8287063, 44240541, 16451299, 39916397], [(8287063, 39702578), (8287063, 44240541), (16451299, 44240541), (16451299, 39916397)])
([39702578, 8287063, 44240541, 17971012, 39916397], [(8287063, 39702578), (8287063, 44240541), (17971012, 44240541), (17971012, 39916397)])
([39702578, 8287063, 44240541, 17971013, 39916397], [(8287063, 39702578), (8287063, 44240541), (17971013, 44240541), (17971013, 39916397)])
